GMT,AST,Seconds in Period,Speed (M/S)
2019-08-02 03:20:00,2019-08-01 23:20:00,46200,3.8999999999999999
2019-08-02 03:30:00,2019-08-01 23:30:00,42600,3.6499999999999999
2019-08-02 03:50:00,2019-08-01 23:50:00,56400,3.1099999999999999
2019-08-02 04:10:00,2019-08-02 00:10:00,136200,2.6200000000000001
2019-08-02 04:20:00,2019-08-02 00:20:00,130200,2.3700000000000001
2019-08-02 04:30:00,2019-08-02 00:30:00,111600,2.0600000000000001
2019-08-02 04:50:00,2019-08-02 00:50:00,82800,1.46
2019-08-02 05:00:00,2019-08-02 01:00:00,63000,0.93000000000000005
2019-08-02 05:10:00,2019-08-02 01:10:00,51000,0.35999999999999999
2019-08-02 05:30:00,2019-08-02 01:30:00,97200,1.8500000000000001
2019-08-02 05:50:00,2019-08-02 01:50:00,113400,2.1499999999999999
2019-08-02 06:00:00,2019-08-02 02:00:00,50400,3.1699999999999999
2019-08-02 06:30:00,2019-08-02 02:30:00,111000,2.79
2019-08-02 06:50:00,2019-08-02 02:50:00,105000,2.77
2019-08-02 07:10:00,2019-08-02 03:10:00,67200,3.02
2019-08-02 07:20:00,2019-08-02 03:20:00,57600,3.1600000000000001
2019-08-02 07:30:00,2019-08-02 03:30:00,54600,3.1400000000000001
2019-08-02 07:40:00,2019-08-02 03:40:00,61200,3.1000000000000001
2019-08-02 07:50:00,2019-08-02 03:50:00,72600,3.0499999999999998
2019-08-02 08:00:00,2019-08-02 04:00:00,91200,2.98
2019-08-02 08:30:00,2019-08-02 04:30:00,123000,2.6899999999999999
2019-08-02 08:50:00,2019-08-02 04:50:00,136800,2.4700000000000002
2019-08-02 09:00:00,2019-08-02 05:00:00,130800,2.3300000000000001
2019-08-02 09:10:00,2019-08-02 05:10:00,124200,2.1699999999999999
2019-08-02 09:20:00,2019-08-02 05:20:00,108000,2.0099999999999998
2019-08-02 09:30:00,2019-08-02 05:30:00,109200,1.8799999999999999
2019-08-02 09:40:00,2019-08-02 05:40:00,88800,1.76
2019-08-02 09:50:00,2019-08-02 05:50:00,64200,1.6200000000000001
2019-08-02 10:20:00,2019-08-02 06:20:00,69600,1.1599999999999999
2019-08-02 10:30:00,2019-08-02 06:30:00,61200,0.91000000000000003
2019-08-02 10:40:00,2019-08-02 06:40:00,67200,0.85999999999999999
2019-08-02 10:50:00,2019-08-02 06:50:00,52800,0.60999999999999999
2019-08-02 11:00:00,2019-08-02 07:00:00,42600,0.44
2019-08-02 11:10:00,2019-08-02 07:10:00,50400,0.53000000000000003
2019-08-02 11:20:00,2019-08-02 07:20:00,51600,0.94999999999999996
2019-08-02 11:40:00,2019-08-02 07:40:00,81000,1.3200000000000001
2019-08-02 11:50:00,2019-08-02 07:50:00,96600,1.4399999999999999
2019-08-02 12:00:00,2019-08-02 08:00:00,87600,1.7
2019-08-02 12:10:00,2019-08-02 08:10:00,94200,2
2019-08-02 12:30:00,2019-08-02 08:30:00,113400,2.3399999999999999
2019-08-02 12:40:00,2019-08-02 08:40:00,166200,2.54
2019-08-02 13:00:00,2019-08-02 09:00:00,90600,2.9300000000000002
2019-08-02 13:10:00,2019-08-02 09:10:00,53400,3.1800000000000002
2019-08-02 13:20:00,2019-08-02 09:20:00,46800,3.52
2019-08-02 13:30:00,2019-08-02 09:30:00,41400,3.8399999999999999
2019-08-02 13:40:00,2019-08-02 09:40:00,26400,4.0999999999999996
2019-08-02 13:50:00,2019-08-02 09:50:00,33600,4.29
2019-08-02 14:00:00,2019-08-02 10:00:00,12000,4.4800000000000004
2019-08-02 14:10:00,2019-08-02 10:10:00,7800,4.6299999999999999
2019-08-02 14:20:00,2019-08-02 10:20:00,6000,4.6600000000000001
2019-08-02 14:50:00,2019-08-02 10:50:00,18600,4.4699999999999998
2019-08-02 15:10:00,2019-08-02 11:10:00,30000,4.21
2019-08-02 15:20:00,2019-08-02 11:20:00,28800,4.1799999999999997
2019-08-02 15:30:00,2019-08-02 11:30:00,39000,4.0300000000000002
2019-08-02 16:10:00,2019-08-02 12:10:00,49800,3.3799999999999999
2019-08-02 16:20:00,2019-08-02 12:20:00,57600,3.1499999999999999
2019-08-02 16:30:00,2019-08-02 12:30:00,93000,2.8399999999999999
2019-08-02 17:20:00,2019-08-02 13:20:00,66000,1.1799999999999999
2019-08-02 17:30:00,2019-08-02 13:30:00,52200,0.66000000000000003
2019-08-02 17:40:00,2019-08-02 13:40:00,33000,0.20000000000000001
2019-08-02 17:50:00,2019-08-02 13:50:00,52800,0.57999999999999996
2019-08-02 18:00:00,2019-08-02 14:00:00,76800,1.3500000000000001
2019-08-02 18:20:00,2019-08-02 14:20:00,60600,1.0700000000000001
2019-08-02 19:40:00,2019-08-02 15:40:00,41400,3.23
2019-08-02 20:30:00,2019-08-02 16:30:00,91200,2.9199999999999999
2019-08-02 21:50:00,2019-08-02 17:50:00,94200,1.9199999999999999
2019-08-02 22:10:00,2019-08-02 18:10:00,73800,1.6299999999999999
2019-08-02 22:20:00,2019-08-02 18:20:00,82800,1.53
2019-08-02 23:00:00,2019-08-02 19:00:00,54600,0.70999999999999996
2019-08-02 23:10:00,2019-08-02 19:10:00,39000,0.37
2019-08-02 23:20:00,2019-08-02 19:20:00,28200,0.17000000000000001
2019-08-02 23:50:00,2019-08-02 19:50:00,84600,1.3400000000000001
2019-08-03 00:30:00,2019-08-02 20:30:00,103800,1.95
2019-08-03 00:50:00,2019-08-02 20:50:00,133800,2.2999999999999998
2019-08-03 01:10:00,2019-08-02 21:10:00,131400,2.6600000000000001
2019-08-03 01:50:00,2019-08-02 21:50:00,57000,3.75
2019-08-03 02:10:00,2019-08-02 22:10:00,25800,4.2400000000000002
2019-08-03 02:30:00,2019-08-02 22:30:00,8400,4.6100000000000003
2019-08-03 02:40:00,2019-08-02 22:40:00,4200,4.6799999999999997
2019-08-03 03:00:00,2019-08-02 23:00:00,7800,4.5599999999999996
2019-08-03 03:10:00,2019-08-02 23:10:00,12000,4.54
2019-08-03 03:20:00,2019-08-02 23:20:00,15600,4.4199999999999999
2019-08-03 03:40:00,2019-08-02 23:40:00,22800,4.3399999999999999
2019-08-03 04:10:00,2019-08-03 00:10:00,43800,3.9100000000000001
2019-08-03 04:20:00,2019-08-03 00:20:00,55200,3.6800000000000002
